id, teamName,shortName, category
14, 北海道コンサドーレ札幌, 札幌, 2
362, ヴァンラーレ八戸, 八戸, 2
269, いわてグルージャ盛岡, 岩手, 0
54, ベガルタ仙台, 仙台, 2
270, ブラウブリッツ秋田, 秋田, 2
29, モンテディオ山形, 山形, 2
271, 福島ユナイテッドFC, 福島, 3
386, いわきFC, いわき, 2
1, 鹿島アントラーズ, 鹿島, 1
94, 水戸ホーリーホック, 水戸, 1
40, 栃木SC, 栃木SC, 3
471, 栃木シティ, 栃木C, 2
35, ザスパ群馬, 群馬, 3
3, 浦和レッズ, 浦和, 1
27, RB大宮アルディージャ, 大宮, 2
2, ジェフユナイテッド千葉, 千葉, 1
11, 柏レイソル, 柏, 1
22, FC東京, FC東京, 1
4, 東京ヴェルディ,東京V, 1
45, FC町田ゼルビア, 町田, 1
21, 川崎フロンターレ, 川崎F, 1
5, 横浜F・マリノス, 横浜FM, 1
34, 横浜FC, 横浜FC, 2
272, Y.S.C.C., YS横浜, 0
6, 横浜フリューゲルス, 横浜F, 0
12, 湘南ベルマーレ, 湘南, 2
273, SC相模原, 相模原, 3
28, ヴァンフォーレ甲府, 甲府, 2
46, 松本山雅FC, 松本, 3
274, AC長野パルセイロ, 長野, 3
78, アルビレックス新潟, 新潟, 2
41, カターレ富山, 富山, 2
275, ツエーゲン金沢, 金沢, 3
7, 清水エスパルス, 清水, 1
13, ジュビロ磐田, 磐田, 2
276, 藤枝MYFC, 藤枝, 2
347, アスルクラロ沼津, 沼津, 0
8, 名古屋グランパス, 名古屋, 1
39, FC岐阜, 岐阜, 3
495, レイラック滋賀FC, 滋賀, 3
24, 京都サンガF.C., 京都, 1
9, ガンバ大阪, G大阪, 1
20, セレッソ大阪, C大阪, 1
390, FC大阪, FC大阪, 3
18, ヴィッセル神戸, 神戸, 1
391, 奈良クラブ, 奈良, 3
44, ガイナーレ鳥取, 鳥取, 3
42, ファジアーノ岡山, 岡山, 1
10, サンフレッチェ広島, 広島, 1
330, レノファ山口FC, 山口, 3
48, カマタマーレ讃岐, 讃岐, 3
36, 徳島ヴォルティス, 徳島, 2
37, 愛媛FC, 愛媛, 3
369, FC今治, 今治, 2
468, 高知ユナイテッドSC, 高知, 3
23, アビスパ福岡, 福岡, 1
43, ギラヴァンツ北九州, 北九州, 3
33, サガン鳥栖, 鳥栖, 2
47, V・ファーレン長崎, 長崎, 1
38, ロアッソ熊本, 熊本, 3
31, 大分トリニータ, 大分, 2
371, テゲバジャーロ宮崎, 宮崎, 3
338, 鹿児島ユナイテッドFC, 鹿児島, 3
277, FC琉球, 琉球, 3


